,firm1,firm2,total emisions ,Pollution Stock,Damage
1,9224.233584,9189.014136,18413.24772,18413.24772,84761922.9
2,9791.788875,9828.187869,19619.97674,33143.8459,274628630.2
3,9463.470263,10845.14092,20308.61119,48839.82729,596332182.4
4,10246.09093,10352.27834,20598.36927,65086.71624,1059070158
5,10287.47014,10320.54368,20608.01382,81565.41166,1663229095
6,10416.51719,10524.34419,20940.86138,98051.82271,2403539984
7,10327.50961,10503.80966,20831.31927,114804.5118,3295018984
8,10190.75643,11680.54036,21871.29679,131469.5672,4321061777
9,11280.89758,11528.82676,22809.72435,148966.6047,5547762327
10,11097.11714,11398.91878,22496.03592,167214.3841,6990162566
11,12258.0202,12589.33058,24847.35078,185211.2129,8575798344
12,12117.67595,12491.03515,24608.71111,205089.0935,10515384069
13,12029.61585,12459.27011,24488.88596,224776.0624,12631069556
14,13280.31421,13745.13307,27025.44728,244367.1712,14928828585
15,13240.46961,13763.2225,27003.69211,265987.529,17687341394
16,13254.17918,13829.04037,27083.21956,287590.4827,20677071431
17,13314.57111,13939.91718,27254.48829,309257.0583,23909982030
18,14704.41397,15381.18433,30085.59831,331060.649,27400288321
19,14818.87255,15554.31898,30373.19153,355129.1276,31529174317
20,14979.71128,15779.13775,30758.84903,379427.6808,35991341244
21,15186.87031,16039.22523,31226.09554,404034.76,40811021832
22,15440.94724,16344.26339,31785.21063,429015.6365,46013604086
23,15737.53626,16703.57984,32441.1161,454443.805,51629792971
24,16079.54666,17101.59863,33181.14528,480396.6979,57695246829
25,16467.32762,17553.12843,34020.45605,506941.6141,64247450023
26,16896.47907,18047.09452,34943.57359,534157.9789,71331186612
27,18655.56613,18629.57486,37285.14099,562112.8378,78992710604
28,19184.58839,19188.57157,38373.15996,591940.9506,87598522246
29,19761.41519,19831.65968,39593.07487,622639.4786,96919980066
30,19100.45833,20552.44537,39652.9037,654313.9385,1.07032E+11
31,19779.78964,21303.64282,41083.43246,686036.2614,1.17661E+11
32,20504.74796,22138.10247,42642.85042,718903.0074,1.29205E+11
33,21310.03493,21709.68083,43019.71576,753017.2877,1.41759E+11
34,22155.38288,22633.25736,44788.64023,787433.0603,1.55013E+11
35,21791.81696,23675.86342,45467.68039,823263.9725,1.69441E+11
